WorkshopSession.workshop_day,WorkshopSession.workshop_time,WorkshopSession.travel_time,WorkshopSession.workshop_id
09/12/2014,10:00:00,11:00:00,47
09/12/2014,11:00:00,10:00:00,47
09/12/2014,12:00:00,13:00:00,47
09/12/2014,13:00:00,12:00:00,47
09/12/2014,14:00:00,15:00:00,47
09/12/2014,15:00:00,14:00:00,47
09/12/2014,16:00:00,17:00:00,47
09/12/2014,17:00:00,16:00:00,47
9/13/14,10:00:00,11:00:00,47
9/13/14,11:00:00,10:00:00,47
9/13/14,12:00:00,13:00:00,47
9/13/14,13:00:00,12:00:00,47
9/13/14,14:00:00,15:00:00,47
9/13/14,15:00:00,14:00:00,47
9/13/14,16:00:00,17:00:00,47
9/13/14,17:00:00,16:00:00,47
9/14/14,10:00:00,11:00:00,47
9/14/14,11:00:00,10:00:00,47
9/14/14,12:00:00,13:00:00,47
9/14/14,13:00:00,12:00:00,47
9/14/14,14:00:00,15:00:00,47
9/14/14,15:00:00,14:00:00,47
9/14/14,16:00:00,17:00:00,47
9/14/14,17:00:00,16:00:00,47
9/15/14,10:00:00,11:00:00,47
9/15/14,11:00:00,10:00:00,47
9/15/14,12:00:00,13:00:00,47
9/15/14,13:00:00,12:00:00,47
9/15/14,14:00:00,15:00:00,47
9/15/14,15:00:00,14:00:00,47
9/15/14,16:00:00,17:00:00,47
9/15/14,17:00:00,16:00:00,47
9/16/14,10:00:00,11:00:00,47
9/16/14,11:00:00,10:00:00,47
9/16/14,12:00:00,13:00:00,47
9/16/14,13:00:00,12:00:00,47
9/16/14,14:00:00,15:00:00,47
9/16/14,15:00:00,14:00:00,47
9/16/14,16:00:00,17:00:00,47
9/16/14,17:00:00,16:00:00,47
9/17/14,10:00:00,11:00:00,47
9/17/14,11:00:00,10:00:00,47
9/17/14,12:00:00,13:00:00,47
9/17/14,13:00:00,12:00:00,47
9/17/14,14:00:00,15:00:00,47
9/17/14,15:00:00,14:00:00,47
9/17/14,16:00:00,17:00:00,47
9/17/14,17:00:00,16:00:00,47
9/18/14,10:00:00,11:00:00,47
9/18/14,11:00:00,10:00:00,47
9/18/14,12:00:00,13:00:00,47
9/18/14,13:00:00,12:00:00,47
9/18/14,14:00:00,15:00:00,47
9/18/14,15:00:00,14:00:00,47
9/18/14,16:00:00,17:00:00,47
9/18/14,17:00:00,16:00:00,47
9/19/14,10:00:00,11:00:00,47
9/19/14,11:00:00,10:00:00,47
9/19/14,12:00:00,13:00:00,47
9/19/14,13:00:00,12:00:00,47
9/19/14,14:00:00,15:00:00,47
9/19/14,15:00:00,14:00:00,47
9/19/14,16:00:00,17:00:00,47
9/19/14,17:00:00,16:00:00,47
9/20/14,10:00:00,11:00:00,47
9/20/14,11:00:00,10:00:00,47
9/20/14,12:00:00,13:00:00,47
9/20/14,13:00:00,12:00:00,47
9/20/14,14:00:00,15:00:00,47
9/20/14,15:00:00,14:00:00,47
9/20/14,16:00:00,17:00:00,47
9/20/14,17:00:00,16:00:00,47
9/21/14,10:00:00,11:00:00,47
9/21/14,11:00:00,10:00:00,47
9/21/14,12:00:00,13:00:00,47
9/21/14,13:00:00,12:00:00,47
9/21/14,14:00:00,15:00:00,47
9/21/14,15:00:00,14:00:00,47
9/21/14,16:00:00,17:00:00,47
9/21/14,17:00:00,16:00:00,47
09/12/2014,10:00:00,11:00:00,48
09/12/2014,11:00:00,10:00:00,48
09/12/2014,12:00:00,13:00:00,48
09/12/2014,13:00:00,12:00:00,48
09/12/2014,14:00:00,15:00:00,48
09/12/2014,15:00:00,14:00:00,48
09/12/2014,16:00:00,17:00:00,48
09/12/2014,17:00:00,16:00:00,48
9/13/14,10:00:00,11:00:00,48
9/13/14,11:00:00,10:00:00,48
9/13/14,12:00:00,13:00:00,48
9/13/14,13:00:00,12:00:00,48
9/13/14,14:00:00,15:00:00,48
9/13/14,15:00:00,14:00:00,48
9/13/14,16:00:00,17:00:00,48
9/13/14,17:00:00,16:00:00,48
9/14/14,10:00:00,11:00:00,48
9/14/14,11:00:00,10:00:00,48
9/14/14,12:00:00,13:00:00,48
9/14/14,13:00:00,12:00:00,48
9/14/14,14:00:00,15:00:00,48
9/14/14,15:00:00,14:00:00,48
9/14/14,16:00:00,17:00:00,48
9/14/14,17:00:00,16:00:00,48
9/15/14,10:00:00,11:00:00,48
9/15/14,11:00:00,10:00:00,48
9/15/14,12:00:00,13:00:00,48
9/15/14,13:00:00,12:00:00,48
9/15/14,14:00:00,15:00:00,48
9/15/14,15:00:00,14:00:00,48
9/15/14,16:00:00,17:00:00,48
9/15/14,17:00:00,16:00:00,48
9/16/14,10:00:00,11:00:00,48
9/16/14,11:00:00,10:00:00,48
9/16/14,12:00:00,13:00:00,48
9/16/14,13:00:00,12:00:00,48
9/16/14,14:00:00,15:00:00,48
9/16/14,15:00:00,14:00:00,48
9/16/14,16:00:00,17:00:00,48
9/16/14,17:00:00,16:00:00,48
9/17/14,10:00:00,11:00:00,48
9/17/14,11:00:00,10:00:00,48
9/17/14,12:00:00,13:00:00,48
9/17/14,13:00:00,12:00:00,48
9/17/14,14:00:00,15:00:00,48
9/17/14,15:00:00,14:00:00,48
9/17/14,16:00:00,17:00:00,48
9/17/14,17:00:00,16:00:00,48
9/18/14,10:00:00,11:00:00,48
9/18/14,11:00:00,10:00:00,48
9/18/14,12:00:00,13:00:00,48
9/18/14,13:00:00,12:00:00,48
9/18/14,14:00:00,15:00:00,48
9/18/14,15:00:00,14:00:00,48
9/18/14,16:00:00,17:00:00,48
9/18/14,17:00:00,16:00:00,48
9/19/14,10:00:00,11:00:00,48
9/19/14,11:00:00,10:00:00,48
9/19/14,12:00:00,13:00:00,48
9/19/14,13:00:00,12:00:00,48
9/19/14,14:00:00,15:00:00,48
9/19/14,15:00:00,14:00:00,48
9/19/14,16:00:00,17:00:00,48
9/19/14,17:00:00,16:00:00,48
9/20/14,10:00:00,11:00:00,48
9/20/14,11:00:00,10:00:00,48
9/20/14,12:00:00,13:00:00,48
9/20/14,13:00:00,12:00:00,48
9/20/14,14:00:00,15:00:00,48
9/20/14,15:00:00,14:00:00,48
9/20/14,16:00:00,17:00:00,48
9/20/14,17:00:00,16:00:00,48
9/21/14,10:00:00,11:00:00,48
9/21/14,11:00:00,10:00:00,48
9/21/14,12:00:00,13:00:00,48
9/21/14,13:00:00,12:00:00,48
9/21/14,14:00:00,15:00:00,48
9/21/14,15:00:00,14:00:00,48
9/21/14,16:00:00,17:00:00,48
9/21/14,17:00:00,16:00:00,48
09/12/2014,10:00:00,11:00:00,49
09/12/2014,11:00:00,10:00:00,49
09/12/2014,12:00:00,13:00:00,49
09/12/2014,13:00:00,12:00:00,49
09/12/2014,14:00:00,15:00:00,49
09/12/2014,15:00:00,14:00:00,49
09/12/2014,16:00:00,17:00:00,49
09/12/2014,17:00:00,16:00:00,49
9/13/14,10:00:00,11:00:00,49
9/13/14,11:00:00,10:00:00,49
9/13/14,12:00:00,13:00:00,49
9/13/14,13:00:00,12:00:00,49
9/13/14,14:00:00,15:00:00,49
9/13/14,15:00:00,14:00:00,49
9/13/14,16:00:00,17:00:00,49
9/13/14,17:00:00,16:00:00,49
9/14/14,10:00:00,11:00:00,49
9/14/14,11:00:00,10:00:00,49
9/14/14,12:00:00,13:00:00,49
9/14/14,13:00:00,12:00:00,49
9/14/14,14:00:00,15:00:00,49
9/14/14,15:00:00,14:00:00,49
9/14/14,16:00:00,17:00:00,49
9/14/14,17:00:00,16:00:00,49
9/15/14,10:00:00,11:00:00,49
9/15/14,11:00:00,10:00:00,49
9/15/14,12:00:00,13:00:00,49
9/15/14,13:00:00,12:00:00,49
9/15/14,14:00:00,15:00:00,49
9/15/14,15:00:00,14:00:00,49
9/15/14,16:00:00,17:00:00,49
9/15/14,17:00:00,16:00:00,49
9/16/14,10:00:00,11:00:00,49
9/16/14,11:00:00,10:00:00,49
9/16/14,12:00:00,13:00:00,49
9/16/14,13:00:00,12:00:00,49
9/16/14,14:00:00,15:00:00,49
9/16/14,15:00:00,14:00:00,49
9/16/14,16:00:00,17:00:00,49
9/16/14,17:00:00,16:00:00,49
9/17/14,10:00:00,11:00:00,49
9/17/14,11:00:00,10:00:00,49
9/17/14,12:00:00,13:00:00,49
9/17/14,13:00:00,12:00:00,49
9/17/14,14:00:00,15:00:00,49
9/17/14,15:00:00,14:00:00,49
9/17/14,16:00:00,17:00:00,49
9/17/14,17:00:00,16:00:00,49
9/18/14,10:00:00,11:00:00,49
9/18/14,11:00:00,10:00:00,49
9/18/14,12:00:00,13:00:00,49
9/18/14,13:00:00,12:00:00,49
9/18/14,14:00:00,15:00:00,49
9/18/14,15:00:00,14:00:00,49
9/18/14,16:00:00,17:00:00,49
9/18/14,17:00:00,16:00:00,49
9/19/14,10:00:00,11:00:00,49
9/19/14,11:00:00,10:00:00,49
9/19/14,12:00:00,13:00:00,49
9/19/14,13:00:00,12:00:00,49
9/19/14,14:00:00,15:00:00,49
9/19/14,15:00:00,14:00:00,49
9/19/14,16:00:00,17:00:00,49
9/19/14,17:00:00,16:00:00,49
9/20/14,10:00:00,11:00:00,49
9/20/14,11:00:00,10:00:00,49
9/20/14,12:00:00,13:00:00,49
9/20/14,13:00:00,12:00:00,49
9/20/14,14:00:00,15:00:00,49
9/20/14,15:00:00,14:00:00,49
9/20/14,16:00:00,17:00:00,49
9/20/14,17:00:00,16:00:00,49
9/21/14,10:00:00,11:00:00,49
9/21/14,11:00:00,10:00:00,49
9/21/14,12:00:00,13:00:00,49
9/21/14,13:00:00,12:00:00,49
9/21/14,14:00:00,15:00:00,49
9/21/14,15:00:00,14:00:00,49
9/21/14,16:00:00,17:00:00,49
9/21/14,17:00:00,16:00:00,49
09/12/2014,10:00:00,11:00:00,50
09/12/2014,11:00:00,10:00:00,50
09/12/2014,12:00:00,13:00:00,50
09/12/2014,13:00:00,12:00:00,50
09/12/2014,14:00:00,15:00:00,50
09/12/2014,15:00:00,14:00:00,50
09/12/2014,16:00:00,17:00:00,50
09/12/2014,17:00:00,16:00:00,50
9/13/14,10:00:00,11:00:00,50
9/13/14,11:00:00,10:00:00,50
9/13/14,12:00:00,13:00:00,50
9/13/14,13:00:00,12:00:00,50
9/13/14,14:00:00,15:00:00,50
9/13/14,15:00:00,14:00:00,50
9/13/14,16:00:00,17:00:00,50
9/13/14,17:00:00,16:00:00,50
9/14/14,10:00:00,11:00:00,50
9/14/14,11:00:00,10:00:00,50
9/14/14,12:00:00,13:00:00,50
9/14/14,13:00:00,12:00:00,50
9/14/14,14:00:00,15:00:00,50
9/14/14,15:00:00,14:00:00,50
9/14/14,16:00:00,17:00:00,50
9/14/14,17:00:00,16:00:00,50
9/15/14,10:00:00,11:00:00,50
9/15/14,11:00:00,10:00:00,50
9/15/14,12:00:00,13:00:00,50
9/15/14,13:00:00,12:00:00,50
9/15/14,14:00:00,15:00:00,50
9/15/14,15:00:00,14:00:00,50
9/15/14,16:00:00,17:00:00,50
9/15/14,17:00:00,16:00:00,50
9/16/14,10:00:00,11:00:00,50
9/16/14,11:00:00,10:00:00,50
9/16/14,12:00:00,13:00:00,50
9/16/14,13:00:00,12:00:00,50
9/16/14,14:00:00,15:00:00,50
9/16/14,15:00:00,14:00:00,50
9/16/14,16:00:00,17:00:00,50
9/16/14,17:00:00,16:00:00,50
9/17/14,10:00:00,11:00:00,50
9/17/14,11:00:00,10:00:00,50
9/17/14,12:00:00,13:00:00,50
9/17/14,13:00:00,12:00:00,50
9/17/14,14:00:00,15:00:00,50
9/17/14,15:00:00,14:00:00,50
9/17/14,16:00:00,17:00:00,50
9/17/14,17:00:00,16:00:00,50
9/18/14,10:00:00,11:00:00,50
9/18/14,11:00:00,10:00:00,50
9/18/14,12:00:00,13:00:00,50
9/18/14,13:00:00,12:00:00,50
9/18/14,14:00:00,15:00:00,50
9/18/14,15:00:00,14:00:00,50
9/18/14,16:00:00,17:00:00,50
9/18/14,17:00:00,16:00:00,50
9/19/14,10:00:00,11:00:00,50
9/19/14,11:00:00,10:00:00,50
