<<<<<<< HEAD
WorkshopSession.workshop_day,WorkshopSession.workshop_time,WorkshopSession.travel_time,WorkshopSession.workshop_id
Enero-05-2014,08am,10am,1
Mayo-05-2014,12am,12am,2
Junio-06-2014,12am,2pm,3
Julio-06-2014,12am,2pm,4
Marzo-06-2014,12am,2pm,5
Abril-06-2014,12am,2pm,6
Agosto-06-2014,12am,2pm,7
Agosto-06-2014,12am,2pm,8
=======
WorkshopSession.workshop_day,WorkshopSession.workshop_time,WorkshopSession.travel_time
Enero-05-2014,08am,10am
Mayo-05-2014,12am,12am
Junio-05-2014,10am,08am
>>>>>>> 2839113523023cbfbfe311f9f1e1fcf2b32bd034
